,Module (54),Function (54),Class (54),Calls (54),Self Time (54),Total Time (54),Self Wait Time (54),Total Wait Time (54),Callers (54),Callees (54),Module Path (54),Source File (54),% in function (54),Average Self time per call (54),Average Total time per call (54)
,MVCDecoder.exe,GetHorFilterStrength,,634144,277636,847286,3652,8466,1,3,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\loopfilter.cpp,0.33,0,0
,MVCDecoder.exe,iquant4x4_c,,957728,250708,250708,178,178,4,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\quantisation.cpp,1,0,0
,MVCDecoder.exe,ClipMinMax,,1676759,201899,201899,309,309,5,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\loopfilter.cpp,1,0,0
,MVCDecoder.exe,macroblockGetPred_axb,,71697,200470,1009252,1255,3002,2,3,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\pbpredict.cpp,0.2,0,0.01
,MVCDecoder.exe,macroblockInterDecode_uv,,38536,192958,623700,2511,5647,1,8,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pbmacroblockcodec.cpp,0.31,0.01,0.02
,MVCDecoder.exe,macroblockPredGetDataUV,,143394,181045,328516,171,310,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\pbpredict.cpp,0.55,0,0
,MVCDecoder.exe,FilterMB,,40800,176696,3553207,1932,29206,2,8,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\loopfilter.cpp,0.05,0,0.09
,MVCDecoder.exe,macroblockPredGetDataY,,71697,169106,312709,572,1122,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\pbpredict.cpp,0.54,0,0
,MVCDecoder.exe,BitstreamSkip,,776341,165050,165050,69213,69213,22,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,1,0,0
,MVCDecoder.exe,macroblockGetHalfPel,,14559,164315,167557,315,315,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\pbpredict.cpp,0.98,0.01,0.01
,MVCDecoder.exe,RTC_CheckStackVars,,1482104,163585,163585,63,63,51,0,E:\Share\Projects\MVC\testset\little\run\,,1,0,0
,MVCDecoder.exe,save_data_pb,,39900,141173,273941,160,492,1,1,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pslice.cpp,0.52,0,0.01
,MVCDecoder.exe,unscan_zig_4x4,,957837,138813,138813,1204,1204,4,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\scanner.h,1,0,0
,MVCDecoder.exe,block_residual_read_cavlc,,117719,129640,712253,252,69686,3,27,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\cavlc.cpp,0.18,0,0.01
,MVCDecoder.exe,_security_check_cookie,,1324229,120471,120471,723,723,17,0,E:\Share\Projects\MVC\testset\little\run\,f:\dd\vctools\crt_bld\self_x86\crt\src\intel\secchk.c,1,0,0
,MVCDecoder.exe,addMacroblockdata,,38536,118335,118335,702,702,1,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pslice.cpp,1,0,0
,MVCDecoder.exe,macroblock_read_cavlc_B_slice,,36300,117643,725423,267,111280,1,13,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvcdecoder\codec\pbframe\pbcavlc.cpp,0.16,0,0.02
,MVCDecoder.exe,macroblockGetPred_axb_Bi,,24785,102642,795323,275,2689,1,2,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\pbpredict.cpp,0.13,0,0.03
,MVCDecoder.exe,BitstreamShowBits,,776341,94422,94422,30,30,22,0,E:\Share\Projects\MVC\testset\little\run\,e:\share\projects\mvc\proj\mvc\mvccommonlib\codec\bitstream.h,1,0,0
